BrandAAIAID|BrandLabel|PartNumber|EXPI_PTS|ACESApplications|QuantityPerApplication|QuantityPerApplicationUOM|MinimumOrderQuantity|MinimumOrderQuantityUOM|PartTerminologyID|DESC_DES|DESC_SHO|DESC_MKT|DESC_EXT|PARTRELEASEDATE|EXPI_NPC|EXPI_NPD|EXPI_LIF|EXPI_LIS|BillableWeight|ItemLevelGTIN|EA_QuantityofEaches|EA_PackageUOM|EA_Height|EA_Width|EA_Length|EA_Weight|EA_WeightUOM|EA_DimensionalWeight|EA_DimensionalWeightUOM|EXPI_WD1|EXPI_WD2|EXPI_WS1|EXPI_WS2|EXPI_WT1|EXPI_WT2|PK_PackageLevelGTIN|PK_QuantityofEaches|PK_PackageUOM|PK_Height|PK_Width|PK_Length|PK_Weight|PK_WeightUOM|CA_PackageLevelGTIN|CA_QuantityofEaches|CA_PackageUOM|CA_Height|CA_Width|CA_Length|CA_Weight|CA_WeightUOM|PL_PackageLevelGTIN|PL_FootprintSize|PL_PackageUOM|PL_FootprintSizeUOM|PL_CartonPerLayer|PL_PLM|PL_QuantityofEaches|PL_Weight|PL_WeightUOM|COUNTRYCODE|EXPI_CTO|CURRENCYCODE|EXPI_EMS|FCCODE|EXPI_REM|HarzardousMaterialCode|EXPI_HSB|EXPI_HAC|EXPI_HTS|EXPI_NAF|EXPI_MSR|msdssheetno|PRICEEFFECTIVEDATE|PriceReleaseDate|PriceSheetNumber|USD_DealerPrice|USD_InstallerPrice|USD_JobberPrice|USD_ListPrice|USD_UnilateralPrice|USD_NSJobberPrice|USD_NSDealerPrice|USD_RacerPrice|USD_RetailPrice|USD_RetailMapPrice|USD_WholesaleMAPPrice|USD_PromoPrice|USD_StockDealerPrice|USD_TradePrice|USD_UserPrice|USD_WDPrice|USD_JobberCorePrice|USD_WDCorePrice|USD_FederalExciseTax|CAD_JobberPrice|CAD_ListPrice|CAD_UnilateralPrice|CAD_RetailPrice|CAD_RetailMapPrice|CAD_WholesaleMAPPrice|CAD_WDPrice|CAD_JobberCorePrice|ModifyDate|partterminologyname
BKDK|CURT|102906||N|||||14617|Double-Eye Leaf Spring Trailer Axle Hanger; 2;200-8;000-lb. Axles; 5in.L x 2in.W|Boot Axle Hanger-5.8|As the unparalleled authority in the world of axles and chassis, Lippert stands as the trusted expert, boasting an impressive legacy since our establishment in 1956. With an unrivaled commitment to excellence, we produce over 5,000 axles daily, cementing our position as the industry leader. In our quest to provide unparalleled service and support, Lippert emerges as your ultimate one-stop shop for all axle parts and components. Our comprehensive offering features genuine replacement parts meticulously crafted to meet the highest standards of quality and reliability. Whether you need bearings, hubs, brakes or any other vital component, Lippert ensures that every product in our arsenal offers exceptional performance and durability. Lippert offers a universal application for our replacement parts, compatible with competitor axles. This versatility not only streamlines the purchasing process but also provides peace of mind, knowing that Lippert parts are designed to seamlessly integrate with a wide range of trailer systems. One of the key advantages of choosing Lippert is our unwavering dedication to customer satisfaction. We prioritize speed and efficiency, providing swift delivery of our products directly to your doorstep. With Lippert, you can rest assured that your replacement parts will arrive promptly, allowing you to get back on the road with minimal downtime. Additionally, we believe in going above and beyond to ensure that every customer receives the attention and assistance they deserve, creating a seamless and stress-free experience from start to finish. With our unparalleled expertise, unwavering commitment to customer satisfaction and superior quality products, Lippert stands as the undisputed leader in the industry, ensuring that your journey is always smoother, safer and hassle-free.|CURT 102906 Boot Axle Hanger-5.81in.||||2|Available to Order|3.200|848150010698|1|EA|5.8100|2.3500|5.0000|3.2000|PG|3.200|PG|||||||||||||||||||||||||||||||||US|USD||||N|8302303060||8302303060|B|N||1/31/2024 12:00:00 AM||J24|||6.7700|10.9500|||||10.9500|6.9500|||||||||||||||||||Axle Bracket
BKDK|CURT|106181LRV||N|||||14617|Double-Eye Leaf Spring Axle Hanger; 2;200-8;000-lb. Axle; 1-15/16in.L x 2in.W|Axle Hanger-1.25in.|As the unparalleled authority in the world of axles and chassis, Lippert stands as the trusted expert, boasting an impressive legacy since our establishment in 1956. With an unrivaled commitment to excellence, we produce over 5,000 axles daily, cementing our position as the industry leader. In our quest to provide unparalleled service and support, Lippert emerges as your ultimate one-stop shop for all axle parts and components. Our comprehensive offering features genuine replacement parts meticulously crafted to meet the highest standards of quality and reliability. Whether you need bearings, hubs, brakes or any other vital component, Lippert ensures that every product in our arsenal offers exceptional performance and durability. Lippert offers a universal application for our replacement parts, compatible with competitor axles. This versatility not only streamlines the purchasing process but also provides peace of mind, knowing that Lippert parts are designed to seamlessly integrate with a wide range of trailer systems. One of the key advantages of choosing Lippert is our unwavering dedication to customer satisfaction. We prioritize speed and efficiency, providing swift delivery of our products directly to your doorstep. With Lippert, you can rest assured that your replacement parts will arrive promptly, allowing you to get back on the road with minimal downtime. Additionally, we believe in going above and beyond to ensure that every customer receives the attention and assistance they deserve, creating a seamless and stress-free experience from start to finish. With our unparalleled expertise, unwavering commitment to customer satisfaction and superior quality products, Lippert stands as the undisputed leader in the industry, ensuring that your journey is always smoother, safer and hassle-free.|CURT 106181LRV Axle Hanger-1.25in.||||2|Available to Order|0.980|848150010643|1|EA|2.3540|1.8600|3.0000|0.9800|PG|0.980|PG|||||||||||||||||||||||||||||||||US|USD||||N|8716905060||8716905060|B|N||1/31/2024 12:00:00 AM||J24|||2.8800|4.9500|||||4.9500|2.9500|||||||||||||||||||Axle Bracket
BKDK|CURT|106182LRV||N|||||14617|Double-Eye Leaf Spring Axle Hanger; 2;200-8;000-lb. Axles; 2-15/16in.L x 2in.W|Axle Hanger-2.25in.|As the unparalleled authority in the world of axles and chassis, Lippert stands as the trusted expert, boasting an impressive legacy since our establishment in 1956. With an unrivaled commitment to excellence, we produce over 5,000 axles daily, cementing our position as the industry leader. In our quest to provide unparalleled service and support, Lippert emerges as your ultimate one-stop shop for all axle parts and components. Our comprehensive offering features genuine replacement parts meticulously crafted to meet the highest standards of quality and reliability. Whether you need bearings, hubs, brakes or any other vital component, Lippert ensures that every product in our arsenal offers exceptional performance and durability. Lippert offers a universal application for our replacement parts, compatible with competitor axles. This versatility not only streamlines the purchasing process but also provides peace of mind, knowing that Lippert parts are designed to seamlessly integrate with a wide range of trailer systems. One of the key advantages of choosing Lippert is our unwavering dedication to customer satisfaction. We prioritize speed and efficiency, providing swift delivery of our products directly to your doorstep. With Lippert, you can rest assured that your replacement parts will arrive promptly, allowing you to get back on the road with minimal downtime. Additionally, we believe in going above and beyond to ensure that every customer receives the attention and assistance they deserve, creating a seamless and stress-free experience from start to finish. With our unparalleled expertise, unwavering commitment to customer satisfaction and superior quality products, Lippert stands as the undisputed leader in the industry, ensuring that your journey is always smoother, safer and hassle-free.|CURT 106182LRV Axle Hanger-2.25in.||||2|Available to Order|1.350|848150010650|1|EA|2.2400|2.3500|3.0000|1.3500|PG|1.350|PG|||||||||||||||||||||||||||||||||US|USD||||N|7318152046||8716905060|B|N||1/31/2024 12:00:00 AM||J24|||4.1400|7.9500|||||7.9500|3.9500|||||||||||||||||||Axle Bracket
BKDK|CURT|106183LRV||N|||||14617|Double-Eye Leaf Spring Axle Hanger; 2;200-8;000-lb. Axles; 3-15/16in.L x 2in.W|Axle Hanger-3.25in.|As the unparalleled authority in the world of axles and chassis, Lippert stands as the trusted expert, boasting an impressive legacy since our establishment in 1956. With an unrivaled commitment to excellence, we produce over 5,000 axles daily, cementing our position as the industry leader. In our quest to provide unparalleled service and support, Lippert emerges as your ultimate one-stop shop for all axle parts and components. Our comprehensive offering features genuine replacement parts meticulously crafted to meet the highest standards of quality and reliability. Whether you need bearings, hubs, brakes or any other vital component, Lippert ensures that every product in our arsenal offers exceptional performance and durability. Lippert offers a universal application for our replacement parts, compatible with competitor axles. This versatility not only streamlines the purchasing process but also provides peace of mind, knowing that Lippert parts are designed to seamlessly integrate with a wide range of trailer systems. One of the key advantages of choosing Lippert is our unwavering dedication to customer satisfaction. We prioritize speed and efficiency, providing swift delivery of our products directly to your doorstep. With Lippert, you can rest assured that your replacement parts will arrive promptly, allowing you to get back on the road with minimal downtime. Additionally, we believe in going above and beyond to ensure that every customer receives the attention and assistance they deserve, creating a seamless and stress-free experience from start to finish. With our unparalleled expertise, unwavering commitment to customer satisfaction and superior quality products, Lippert stands as the undisputed leader in the industry, ensuring that your journey is always smoother, safer and hassle-free.|CURT 106183LRV Axle Hanger-3.87in.||||2|Available to Order|1.670|848150052476|1|EA|3.5000|2.5000|3.0000|1.6700|PG|1.670|PG|||||||||||||||||||||||||||||||||US|USD||||N|7318152046||8716905060|B|N||1/31/2024 12:00:00 AM||J24|||5.0500|8.9500|||||8.9500|4.9500|||||||||||||||||||Axle Bracket
BKDK|CURT|106184LRV||N|||||14617|Double-Eye Leaf Spring Axle Hanger; 2;200-8;000-lb. Axles; 5-5/8in.L x 2in.W|Axle Hanger-5.25in.|As the unparalleled authority in the world of axles and chassis, Lippert stands as the trusted expert, boasting an impressive legacy since our establishment in 1956. With an unrivaled commitment to excellence, we produce over 5,000 axles daily, cementing our position as the industry leader. In our quest to provide unparalleled service and support, Lippert emerges as your ultimate one-stop shop for all axle parts and components. Our comprehensive offering features genuine replacement parts meticulously crafted to meet the highest standards of quality and reliability. Whether you need bearings, hubs, brakes or any other vital component, Lippert ensures that every product in our arsenal offers exceptional performance and durability. Lippert offers a universal application for our replacement parts, compatible with competitor axles. This versatility not only streamlines the purchasing process but also provides peace of mind, knowing that Lippert parts are designed to seamlessly integrate with a wide range of trailer systems. One of the key advantages of choosing Lippert is our unwavering dedication to customer satisfaction. We prioritize speed and efficiency, providing swift delivery of our products directly to your doorstep. With Lippert, you can rest assured that your replacement parts will arrive promptly, allowing you to get back on the road with minimal downtime. Additionally, we believe in going above and beyond to ensure that every customer receives the attention and assistance they deserve, creating a seamless and stress-free experience from start to finish. With our unparalleled expertise, unwavering commitment to customer satisfaction and superior quality products, Lippert stands as the undisputed leader in the industry, ensuring that your journey is always smoother, safer and hassle-free.|CURT 106184LRV Axle Hanger-5.25in.||||2|Available to Order|2.700|848150010681|1|EA|6.5000|6.5000|6.5000|2.7000|PG|2.700|PG|||||||||||||||||||||||||||||||||US|USD||||N|7318152046||8716905060|B|N||1/31/2024 12:00:00 AM||J24|||3.9800|6.9500|||||6.9500|3.9500|||||||||||||||||||Axle Bracket
BKDK|CURT|106185L||N|1|EA|1|EA|14617|Double-Eye Leaf Spring Trailer Axle Hanger; 2;200-8;000-lb Axle; 4-15/16in.L x 2|Axle Hanger-4.17in.|As the unparalleled authority in the world of axles and chassis, Lippert stands as the trusted expert, boasting an impressive legacy since our establishment in 1956. With an unrivaled commitment to excellence, we produce over 5,000 axles daily, cementing our position as the industry leader. In our quest to provide unparalleled service and support, Lippert emerges as your ultimate one-stop shop for all axle parts and components. Our comprehensive offering features genuine replacement parts meticulously crafted to meet the highest standards of quality and reliability. Whether you need bearings, hubs, brakes or any other vital component, Lippert ensures that every product in our arsenal offers exceptional performance and durability. Lippert offers a universal application for our replacement parts, compatible with competitor axles. This versatility not only streamlines the purchasing process but also provides peace of mind, knowing that Lippert parts are designed to seamlessly integrate with a wide range of trailer systems. One of the key advantages of choosing Lippert is our unwavering dedication to customer satisfaction. We prioritize speed and efficiency, providing swift delivery of our products directly to your doorstep. With Lippert, you can rest assured that your replacement parts will arrive promptly, allowing you to get back on the road with minimal downtime. Additionally, we believe in going above and beyond to ensure that every customer receives the attention and assistance they deserve, creating a seamless and stress-free experience from start to finish. With our unparalleled expertise, unwavering commitment to customer satisfaction and superior quality products, Lippert stands as the undisputed leader in the industry, ensuring that your journey is always smoother, safer and hassle-free.|CURT 106185L Axle Hanger-4.17in.||N|New Item 3 Months, 6 Months, etc|2|Available to Order|1.500|848150010674|1|EA|4.5000|4.5000|6.5000|1.5000|PG|1.500|PG|||One-Year Limited Warranty|TX|||||||||||||||||||||||1|1|||||US|USD|1|||N|8716905060||8716905060|B|N||1/31/2024 12:00:00 AM||J24|||3.4800|5.9500|||||5.9500|3.9500|||||||||||||||||||Axle Bracket
BKDK|CURT|11000|110003|Y|1|EA|1|EA|1212|Class 1 Trailer Hitch; 1-1/4in. Receiver; Select Volkswagen Golf; GTI|Class 1 Trailer Hitc|However you define adventure -- whether its climbing onto the back of a mountain bike, hunting from the top of a tree stand or camping with the family a long way from nowhere -- CURT class 1 hitches provide a light-duty towing receiver to help you Bring It. Each is made to fit a specific vehicle, providing easier installation, a better fit and optimal towing capacity. Custom class 1 trailer hitches are available for a variety of smaller vehicle types, including the compact car, crossover, minivan and small SUV. This particular class 1 hitch is designed to be a custom hitch for certain years of the Volkswagen Golf and GTI (to verify vehicle compatibility, see the CURT application guide at curtmfg.com). Tested in accordance with SAE J684, it offers a weight carrying capacity of 2,000 lbs. GTW and 200 lbs. TW. It is equipped with 1-1/4 in. receiver tube opening to accept a ball mount shank or other hitch mount. This class 1 hitch also comes with all necessary mounting hardware. With its lightweight design and smaller receiver tube size, a class 1 hitch is especially useful for adding cargo space with a hitch-mounted bike rack or cargo carrier. They can also typically be used to tow small trailers such as a utility trailer, kayak trailer or teardrop camper (never exceed the lowest weight capacity of any towing component; i.e. the vehicle, hitch, trailer, etc). Though CURT class 1 trailer hitches are only intended for light-duty towing, we apply the same principles of quality as we do to the rest of our rear mount hitches. Each class 1 hitch is made with hands-on engineering, high-strength steel and precise welding. We use a co-cured finish of liquid A-coat, inside and out, and durable black powder coat to provide a lasting defense against rust, chips and UV rays.|CURT 11000 Class 1 Trailer Hitch; 1-1/4-Inch Receiver; Fits Select Volkswagen Golf; GTI||||2|Available to Order|44.250|612314010011|1|EA|9.7600|15.3700|41.0000|33.5500|PG|44.250|PG|||One-Year Limited Warranty|TX|||||||||||||||||||||||4|4|||||US|USD|1|||N|8708998180||8708998180|B|N||1/31/2024 12:00:00 AM||J24|||214.6600|303.9500|||||303.9500|229.9500|||||||||||||||||||Trailer Hitch
BKDK|CURT|110003||Y|1|EA|1|EA|1212|Class 1 Trailer Hitch; 1-1/4in. Ball Mount; Select Volkswagen Golf; GTI|Class 1 Trailer Hitc|Connect to your lifestyle with a custom hitch receiver from CURT. All of our custom hitches are designed for a vehicle-specific fit, manufactured with pride, finished for industry-leading rust resistance and tested to rigorous SAE J684 standards for safety. This class 1 trailer hitch and ball mount combination is designed for a custom fit on select years of the Volkswagen Golf and GTI (see application info to verify fitment). The hitch integrates with the vehicles frame and provides a useful and dependable 1-1/4 in. x 1-1/4 in. receiver. The receiver is perfect for attaching the included ball mount and towing a small trailer, or for adding cargo space with a hitch-mounted cargo carrier, bike rack or other accessory. This particular class 1 hitch is rated for 2,000 pounds gross trailer weight and 200 pounds tongue weight (never exceed the lowest-rated towing component). The ball mount included with this trailer hitch quickly and easily installs into the hitch receiver and has a 3/4 in. trailer ball hole (trailer ball not included). It can be mounted in the rise or drop position to promote level towing. Like all CURT custom hitches, this class 1 hitch is protected with our co-cured finishing process. It is descaled for a smooth surface, immersed in liquid A-coat for rust resistance inside and out, covered with a durable black powder coat and finally co-cured for an industry-leading rust, chip and UV-resistant shield. No matter where youre headed or which season of the year you're towing in, this CURT hitch is equipped for long-lasting resilience to the elements. It features an open-back receiver for easy cleaning, and it comes with all the hardware necessary for the installation.|CURT 110003 Class 1 Trailer Hitch with Ball Mount; 1-1/4-In Receiver; Fits Select Volkswagen Golf; GTI||||2|Available to Order|44.590|612314002696|1|EA|9.7600|15.4900|41.0000|40.0000|PG|44.590|PG|||Limited Lifetime Warranty (One-Year Finish; One-Year Parts)|TX|||||||||||||||||||||||4|4|||||US|USD|1|||N|8708998180||8708998180|B|N||1/31/2024 12:00:00 AM||J24|||244.1900|344.9500|||||344.9500|260.9500|||||||||||||||||||Trailer Hitch
BKDK|CURT|11001|110013|Y|1|EA|1|EA|1212|Class 1 Trailer Hitch; 1-1/4in. Receiver; Select Mercedes-Benz E350|Class 1 Trailer Hitc|However you define adventure -- whether its climbing onto the back of a mountain bike, hunting from the top of a tree stand or camping with the family a long way from nowhere -- CURT class 1 hitches provide a light-duty towing receiver to help you Bring It. Each is made to fit a specific vehicle, providing easier installation, a better fit and optimal towing capacity. Custom class 1 trailer hitches are available for a variety of smaller vehicle types, including the compact car, crossover, minivan and small SUV. This particular class 1 hitch is designed to be a custom hitch for certain years of the Mercedes-Benz E350 (to verify vehicle compatibility, see the CURT application guide at curtmfg.com). Tested in accordance with SAE J684, it offers a weight carrying capacity of 2,000 lbs. GTW and 200 lbs. TW. It is equipped with 1-1/4 in. receiver tube opening to accept a ball mount shank or other hitch mount. This class 1 hitch also comes with all necessary mounting hardware. With its lightweight design and smaller receiver tube size, a class 1 hitch is especially useful for adding cargo space with a hitch-mounted bike rack or cargo carrier. They can also typically be used to tow small trailers such as a utility trailer, kayak trailer or teardrop camper (never exceed the lowest weight capacity of any towing component; i.e. the vehicle, hitch, trailer, etc). Though CURT class 1 trailer hitches are only intended for light-duty towing, we apply the same principles of quality as we do to the rest of our rear mount hitches. Each class 1 hitch is made with hands-on engineering, high-strength steel and precise welding. We use a co-cured finish of liquid A-coat, inside and out, and durable black powder coat to provide a lasting defense against rust, chips and UV rays.|CURT 11001 Class 1 Trailer Hitch; 1-1/4-Inch Receiver; Fits Select Mercedes-Benz E350||||2|Available to Order|30.300|612314005352|1|EA|6.7600|12.0000|38.2400|30.3000|PG|30.300|PG|||Limited Lifetime Warranty (One-Year Finish; One-Year Parts)|TX|||||||||||||||||||||||4|4|||||US|USD|1|||N|8708998180||8708998180|B|N||1/31/2024 12:00:00 AM||J24|||310.8000|438.9500|||||438.9500|332.9500|||||||||||||||||||Trailer Hitch
BKDK|CURT|110013||Y|1|EA|1|EA|1212|Class 1 Trailer Hitch; 1-1/4in. Ball Mount; Select Mercedes-Benz E350|Class 1 Trailer Hitc|Connect to your lifestyle with a custom hitch receiver from CURT. All of our custom hitches are designed for a vehicle-specific fit, manufactured with pride, finished for industry-leading rust resistance and tested to rigorous SAE J684 standards for safety. This class 1 trailer hitch and ball mount combination is designed for a custom fit on select years of the Mercedes-Benz E350 (see application info to verify fitment). The hitch integrates with the vehicles frame and provides a useful and dependable 1-1/4 in. x 1-1/4 in. receiver. The receiver is perfect for attaching the included ball mount and towing a small trailer, or for adding cargo space with a hitch-mounted cargo carrier, bike rack or other accessory. This particular class 1 hitch is rated for 2,000 pounds gross trailer weight and 200 pounds tongue weight (never exceed the lowest-rated towing component). The ball mount included with this trailer hitch quickly and easily installs into the hitch receiver and has a 3/4 in. trailer ball hole (trailer ball not included). It can be mounted in the rise or drop position to promote level towing. Like all CURT custom hitches, this class 1 hitch is protected with our co-cured finishing process. It is descaled for a smooth surface, immersed in liquid A-coat for rust resistance inside and out, covered with a durable black powder coat and finally co-cured for an industry-leading rust, chip and UV-resistant shield. No matter where youre headed or which season of the year you're towing in, this CURT hitch is equipped for long-lasting resilience to the elements. It features an open-back receiver for easy cleaning, and it comes with all the hardware necessary for the installation.|CURT 110013 Class 1 Trailer Hitch with Ball Mount; 1-1/4-In Receiver; Fits Select Mercedes-Benz E350||||2|Available to Order|38.000|612314003518|1|EA|6.7600|12.0000|38.2400|38.0000|PG|38.000|PG|||Limited Lifetime Warranty (One-Year Finish; One-Year Parts)|TX|||||||||||||||||||||||4|4|||||US|USD|1|||N|8708998180||8708998180|B|N||1/31/2024 12:00:00 AM||J24|||340.3300|480.9500|||||480.9500|363.9500|||||||||||||||||||Trailer Hitch
