BrandAAIAID|PartNumber|AssetType|OrientationView|Background|Representation|FileName|FileType|FileSize|Resolution|ColorMode|AssetHeight|AssetWidth|UOM|Details
BKDK|102906|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/102906_3008x1990_a.jpg|JPG|275|300|RGB|1500|1500|PX|
BKDK|102906|RGL|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/CURT_Group-PROP65_Warning.jpg|JPG|10|72|RGB|59|250|PX|Proposition 65
BKDK|102906|ZZ3|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/Made_In_USA.jpg|JPG|16|72|RGB|250|251|PX|Made In Logo
BKDK|106181LRV|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/106181LRV_3008x1990_a.jpg|JPG|467|300|RGB|1500|1500|PX|
BKDK|106181LRV|RGL|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/CURT_Group-PROP65_Warning.jpg|JPG|10|72|RGB|59|250|PX|Proposition 65
BKDK|106181LRV|ZZ3|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/Made_In_USA.jpg|JPG|16|72|RGB|250|251|PX|Made In Logo
BKDK|106182LRV|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/106182LRV_3008x1990_a.jpg|JPG|350|300|RGB|1500|1500|PX|
BKDK|106182LRV|RGL|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/CURT_Group-PROP65_Warning.jpg|JPG|10|72|RGB|59|250|PX|Proposition 65
BKDK|106182LRV|ZZ3|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/Made_In_USA.jpg|JPG|16|72|RGB|250|251|PX|Made In Logo
BKDK|106183LRV|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/106183LRV_3008x1990_a.jpg|JPG|505|300|RGB|1500|1500|PX|
BKDK|106183LRV|RGL|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/CURT_Group-PROP65_Warning.jpg|JPG|10|72|RGB|59|250|PX|Proposition 65
BKDK|106183LRV|ZZ3|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/Made_In_USA.jpg|JPG|16|72|RGB|250|251|PX|Made In Logo
BKDK|106184LRV|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/106184LRV_3008x1990_a.jpg|JPG|227|300|RGB|1500|1500|PX|
BKDK|106184LRV|RGL|FRO|WHI||https://www.catalograck.com/ImgVD/CUR/CURT_Group-PROP65_Warning.jpg|JPG|10|72|RGB|59|250|PX|Proposition 65
