BrandAAIAID|PartNumber|AttributeID|AttributeData
BKDK|102906|WARNING CA Proposition 65|Yes
BKDK|102906|WARNING CA Proposition 65 Message|<! Triangle> WARNING: This product can expose you to chemicals including Di(2-ethylhexyl) phthalate which is known to the State of California to cause cancer and Di-n-butyl phthalate which is known to the State of California to cause birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov
BKDK|106181LRV|WARNING CA Proposition 65|Yes
BKDK|106181LRV|WARNING CA Proposition 65 Message|<! Triangle> WARNING: Cancer and Reproductive Harm - www.p65warnings.ca.gov
BKDK|106182LRV|WARNING CA Proposition 65|Yes
BKDK|106182LRV|WARNING CA Proposition 65 Message|<! Triangle> WARNING: Cancer and Reproductive Harm - www.p65warnings.ca.gov
BKDK|106183LRV|WARNING CA Proposition 65|Yes
BKDK|106183LRV|WARNING CA Proposition 65 Message|<! Triangle> WARNING: Cancer and Reproductive Harm - www.p65warnings.ca.gov
BKDK|106184LRV|WARNING CA Proposition 65|Yes
BKDK|106184LRV|WARNING CA Proposition 65 Message|<! Triangle> WARNING: Cancer and Reproductive Harm - www.p65warnings.ca.gov
BKDK|106185L|WARNING CA Proposition 65|No
BKDK|11000|Body Shape|Round
BKDK|11000|Drilling Required|No
BKDK|11000|Finish|Gloss Black Powder Coat
BKDK|11000|Gross Trailer Weight|2000 lbs.
BKDK|11000|Install Time|15 Minutes
BKDK|11000|Position|Rear
BKDK|11000|Receiver Tube Size|1.250 in.
BKDK|11000|Visibility|Exposed
BKDK|11000|WARNING CA Proposition 65|No
BKDK|11000|WC Tongue Weight|200
BKDK|11000|Weight Carrying Capacity|2000
BKDK|110003|Body Shape|Round
BKDK|110003|Drilling Required|No
BKDK|110003|Finish|Gloss Black Powder Coat
BKDK|110003|Gross Trailer Weight|2000 lbs.
BKDK|110003|Install Time|15 Minutes
BKDK|110003|Position|Rear
BKDK|110003|Receiver Tube Size|1.250 in.
BKDK|110003|Visibility|Exposed
BKDK|110003|WARNING CA Proposition 65|No
BKDK|110003|WC Tongue Weight|200
BKDK|110003|Weight Carrying Capacity|2000
BKDK|11001|Body Shape|Flat
BKDK|11001|Drilling Required|Yes
BKDK|11001|Finish|Gloss Black Powder Coat
BKDK|11001|Gross Trailer Weight|2000 lbs.
BKDK|11001|Install Time|30 Minutes
BKDK|11001|Position|Rear
BKDK|11001|Receiver Tube Size|1.250 in.
BKDK|11001|Visibility|Concealed
BKDK|11001|WARNING CA Proposition 65|No
BKDK|11001|WC Tongue Weight|200
BKDK|11001|Weight Carrying Capacity|2000
BKDK|110013|Body Shape|Flat
BKDK|110013|Drilling Required|Yes
BKDK|110013|Finish|Gloss Black Powder Coat
BKDK|110013|Gross Trailer Weight|2000 lbs.
BKDK|110013|Install Time|30 Minutes
BKDK|110013|Position|Rear
BKDK|110013|Receiver Tube Size|1.250 in.
BKDK|110013|Visibility|Concealed
BKDK|110013|WARNING CA Proposition 65|No
BKDK|110013|WC Tongue Weight|200
BKDK|110013|Weight Carrying Capacity|2000
BKDK|11002|Body Shape|Round
BKDK|11002|Drilling Required|No
BKDK|11002|Finish|Gloss Black Powder Coat
BKDK|11002|Gross Trailer Weight|2000 lbs.
BKDK|11002|Install Time|30 Minutes
BKDK|11002|Position|Rear
BKDK|11002|Receiver Tube Size|1.250 in.
BKDK|11002|Visibility|Exposed
BKDK|11002|WARNING CA Proposition 65|No
